1,1,-8.7473,-1.8282,160,7.4755,0.30794,0
2,1,-8.6176,-2.2777,160,7.5793,-0.38093,2
3,1,-6.8525,-2.2032,184,7.6831,-3.4312,2
4,1,-6.7487,-2.8487,194,7.5533,-4.13,1
5,1,-2.9071,-2.015,143,7.6831,-0.44155,1
6,1,-2.1803,-1.1178,158,-9.0069,-8.3168,2
7,1,0.051913,-1.3702,101,-10.564,-1.3416,1
8,1,2.4918,-4.4519,1179,7.735,-3.8407,1
9,14,-10.746,-1.6309,381,7.5533,-0.75032,1
10,72,7.4495,-3.9177,263,-10.72,-3.9695,1
11,118,7.5793,-4.3022,250,-10.824,-2.2624,0
12,198,-10.772,-1.7836,389,7.8389,-3.0564,0
13,199,-10.46,-1.2722,375,7.7091,-2.8019,1
14,274,-10.59,-1.256,440,7.6831,-2.868,1
15,277,-10.746,-1.9775,463,7.787,-2.9719,1
16,294,7.5274,-4.1527,627,-10.564,-2.3381,1
17,312,7.6053,-3.4345,634,-10.616,-1.8204,1
18,349,7.3976,-3.8549,559,7.787,2.4442,1
19,364,7.5533,-5.1915,647,-10.824,-2.5441,1
20,381,7.5014,-3.3306,499,7.6572,0.31561,1
22,509,7.4236,-5.5436,725,-10.46,-2.4854,2
21,514,-9.4482,-8.3787,711,7.4755,-2.3134,0
23,646,-10.72,-4.3812,835,7.6572,-1.2226,1
24,657,-10.772,-0.98206,830,7.5793,-0.099298,2
25,661,-10.72,-1.4565,835,7.5533,-0.707,2
26,695,7.5533,-0.51202,851,-10.616,-1.4088,2
27,783,-10.668,-4.5956,952,7.6572,-5.7287,0
28,931,7.6312,-2.0036,1100,-10.616,-1.7771,0
29,931,7.6312,-2.7835,1099,-10.616,-2.5786,1
30,937,-10.59,-2.4692,1089,7.6572,-1.3309,1
31,940,-10.512,-1.7294,1086,7.4495,-0.5164,0
32,998,7.6053,-1.2247,1304,-10.642,-1.7565,0
33,998,7.6831,-1.958,1309,-10.616,-2.5353,1
34,1092,7.6053,-3.9545,1450,-10.46,-2.3554,1
35,1113,7.5274,-2.7662,1450,-10.564,-1.4716,1
36,1216,7.787,-2.4303,1335,-10.435,-1.1411,1
37,1246,-10.72,-2.518,1438,7.2678,-5.7235,1
38,1513,-10.564,-2.4031,1679,7.5533,-0.85865,0
39,1516,-10.564,-2.8798,1684,7.6572,-1.5909,0
40,1723,-10.642,-1.8215,1935,7.8648,-4.1385,0
41,1728,-10.746,-2.1942,1946,7.6312,-3.8667,1
42,1761,7.6831,-2.7813,1936,-10.564,-2.7498,1
43,1816,-10.668,-2.4942,1951,7.761,-2.3664,1
44,1824,7.5274,-1.9863,1994,-10.694,-1.672,1
45,1825,7.6312,-1.332,1996,-10.746,-1.0026,1
46,1876,7.4495,-1.188,2046,-10.772,-1.9786,1
47,1876,7.5014,-0.51421,2056,-10.772,-1.2637,1
48,1915,7.4755,-0.68862,2089,-10.668,-1.086,1
49,1925,-10.59,-1.5593,2102,7.5274,-3.7628,1
50,1925,-10.694,-2.3653,2108,7.19,-4.232,1
51,2002,7.6053,-0.50983,2153,-10.746,-0.67766,0
53,2021,7.6831,-3.7562,2180,-10.72,-1.3048,1
52,2025,7.5533,-1.2486,2170,-10.59,-0.97439,1
54,2144,-10.72,-1.9114,2362,7.7091,-1.437,1
55,2151,-10.668,-2.5158,2355,7.6831,-0.8315,1
56,2151,7.5793,-5.1254,2346,-10.746,-2.3458,1
58,2176,-10.72,-2.5614,2366,7.6312,-3.2601,2
59,2190,-10.72,-2.3014,2375,7.6053,-2.5463,1
57,2196,7.6312,-3.3251,2368,-10.694,-1.7804,2
60,2255,7.4755,-1.2736,2440,-10.512,-2.5959,1
61,2258,7.4755,-0.79694,2441,-10.616,-1.9071,2
62,2258,7.3976,-0.21529,2441,-10.72,-1.3698,2
63,2283,-10.798,-0.85317,2383,-5.7104,2.0912,2
64,2316,-10.72,-1.3915,2404,-5.5547,2.0761,1
65,2408,-7.761,-9.3257,2741,7.5533,-4.3033,0
66,2408,-8.6695,-9.3424,2741,7.5793,-3.5439,1
67,2588,-10.694,-4.5751,2788,7.6312,-3.6501,0
68,2611,7.6831,-1.1348,2851,-10.616,-4.1601,0
69,2614,7.5274,-0.079825,2728,-10.694,-1.2387,0
70,2674,1.791,-1.9467,2872,-10.668,-4.9422,0
71,2718,7.6831,-2.6513,2770,3.3743,-0.40674,0
72,2800,7.5533,-1.2703,2960,-10.668,-2.5375,0
73,2848,-10.694,-2.5819,3010,7.6572,-0.61596,0
74,2851,-10.72,-3.038,3012,7.5793,-1.8974,0
75,2895,-10.642,-2.3198,3047,7.6053,-4.7994,0
76,3001,-10.642,-1.8648,3371,7.3717,-2.3395,0
77,3016,-10.72,-5.2477,3377,7.4755,-4.3932,1
78,3027,-10.72,-4.9011,3378,7.7091,-3.7984,1
79,3037,7.5533,-1.1403,3239,-10.746,-2.7791,1
81,3056,-10.746,-4.6639,3326,7.7091,-1.2637,2
